No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,성남시 분당구 판교원로82번길 30,산운13단지휴먼시아데시앙,25503.32,2630.09,1410,20100607
,성남시 중원구 도촌북로 78,섬마을휴먼시아5단지,12303.31,2384.15,633,20100302
,성남시 분당구 대왕판교로644번길 65,봇들5단지휴먼시아,9211.73,1564.7,783,20100104
,성남시 분당구 서판교로 193,판교원마을13단지휴먼시아,10607.77,3219.83,172,20091223
,성남시 분당구 동판교로 122,백현2단지휴먼시아,16187.38,2955.32,782,20091221
,성남시 분당구 동판교로 153,봇들8단지휴먼시아,8551.67,1736.91,458,20091117
,성남시 분당구 판교역로 98,백현7단지휴먼시아,8869.6,1640.14,471,20091102
,성남시 분당구 판교역로 100,백현6단지휴먼시아,7520.15,1334.04,402,20091020
,성남시 분당구 판교역로 102,백현5단지휴먼시아,11478.66,2184.39,599,20091020
,성남시 분당구 판교로 20,판교원마을3단지휴먼시아푸르지오,7708.91,1189.15,492,20091012
,성남시 분당구 판교로 30,판교원마을2단지휴먼시아푸르지오,5433.2,986.84,205,20091012
,성남시 분당구 판교원로 207,판교원마을5단지휴먼시아푸르지오,9466.43,1461.9,575,20091012
,성남시 분당구 판교로 50,판교원마을1단지휴먼시아,11282.65,1998.71,410,20090923
,성남시 분당구 대왕판교로 155,더헤리티지,29263.28,5849.76,390,20090918
,성남시 분당구 판교역로 49,백현9단지휴먼시아e편한세상,12722.24,2300.13,352,20090914
,성남시 분당구 판교원로82번길 60,산운14단지휴먼시아아너스빌,12031.94,2303.48,501,20090820
,성남시 분당구 동판교로 22,봇들3단지휴먼시아,13859.94,2273.38,879,20090728
,성남시 분당구 판교원로 46,휴먼시아12단지,7517.73,1168.62,516,20090723
,성남시 분당구 판교원로 68,휴먼시아11단지,7450.57,1321.69,511,20090723
,성남시 분당구 동판교로 155,봇들7단지휴먼시아엔파트,11474.13,2627.22,585,20090715
